entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system,held_bars
2025-11-06 09:40:00,,SHORT,25731.0,25754.0,-460.0,stop,VWAP Reversion,
2025-11-06 10:05:00,2025-11-06 10:25:00,LONG,25732.5,25765.0,650.0,target,Layer I,
2025-11-06 10:20:00,,SHORT,25754.75,25769.0,-285.0,stop,VWAP Reversion,
2025-11-06 10:25:00,2025-11-06 12:30:00,SHORT,25769.0,25782.39,-267.86,real_dollar_stop,Z-Score MR v2,25.0
2025-11-06 10:30:00,,SHORT,25774.25,25754.0,405.0,target,VWAP Reversion,
2025-11-06 10:40:00,,SHORT,25761.75,25753.5,165.0,target,VWAP Reversion,
2025-11-06 10:50:00,,SHORT,25759.75,25752.0,155.0,target,VWAP Reversion,
2025-11-06 11:00:00,,SHORT,25757.5,25748.0,190.0,target,VWAP Reversion,
2025-11-06 11:15:00,,SHORT,25763.5,25754.5,180.0,target,VWAP Reversion,
2025-11-06 11:25:00,,SHORT,25768.5,25755.0,270.0,target,VWAP Reversion,
2025-11-06 11:35:00,,SHORT,25764.5,25747.5,340.0,target,VWAP Reversion,
2025-11-06 12:00:00,,SHORT,25759.0,25776.5,-350.0,stop,VWAP Reversion,
2025-11-06 12:10:00,,SHORT,25775.25,25793.25,-360.0,stop,VWAP Reversion,
